Timestamp,Source,Name,Value,Instance
04:40.9,127,Fuel Rate,0.1208,
04:40.9,B5,Battery Voltage,28.55,1
04:40.9,A9,Transmission oil temperature,349.8,0
04:40.9,A9,Transmission oil pressure,134300,0
04:40.9,A9,Transmission Gear,3,0
04:40.9,A9,Engine tilt/trim,100,0
04:40.9,A4,Fuel Pressure,136000,
04:40.9,A4,Engine coolant pressure,104000,4
04:40.9,A4,Engine temp.,352.15,4
04:40.9,A4,Engine oil temp.,350.7,4
04:40.9,A4,Engine oil pressure,484000,4
04:40.9,A5,Engine Speed,1748,1
04:40.9,A5,Engine Boost Pressure,212000,1
04:41.1,127,Latitude,59° 25.170066' N,
04:41.1,127,Longitude,05° 17.683656' E,
04:41.1,17,Course Over Ground,0,
04:41.1,128,Heading,0.0121,
04:41.1,114,Heading,3.4015,
04:41.1,128,Deviation,,
04:41.1,114,Deviation,0,
04:41.1,127,Speed Over Ground,0,
04:41.1,17,Speed Over Ground,0,
04:41.1,13,Water Depth,,
04:41.1,127,Fluid Level,87.3,
04:41.1,127,Fuel Rate,0.1275,
04:41.1,127,Fuel Rate,0.1205,
04:41.1,B4,Battery Voltage,26.36,2
04:41.1,A9,Transmission oil temperature,349.8,0
04:41.1,A9,Transmission oil pressure,134300,0
04:41.1,A9,Transmission Gear,3,0
04:41.1,A9,Engine tilt/trim,100,0
04:41.1,A3,Fuel Pressure,644000,
04:41.1,A3,Engine coolant pressure,236000,2
04:41.1,A3,Engine temp.,349.15,2
04:41.1,A3,Engine oil temp.,359.2,2
04:41.1,A3,Engine oil pressure,464000,2
04:41.1,A3,Engine Speed,1911,2
04:41.1,A3,Engine Boost Pressure,196000,2
04:41.2,127,Latitude,59° 25.170066' N,
04:41.2,127,Longitude,05° 17.683656' E,
04:41.2,128,Heading,0.012,
04:41.2,114,Heading,3.4015,
04:41.2,128,Deviation,,
04:41.2,114,Deviation,0,
04:41.2,127,Speed Over Ground,0,
04:41.2,127,Fluid Level,87.3,
04:41.2,127,Fuel Rate,0.1278,
04:41.2,B1,Battery Voltage,27.51,7
04:41.2,A9,Transmission oil temperature,349.8,0
04:41.2,A9,Transmission oil pressure,134300,0
04:41.2,A9,Transmission Gear,3,0
04:41.2,A9,Engine tilt/trim,100,0
04:41.2,A5,Fuel Pressure,660000,
04:41.2,A5,Engine coolant pressure,218000,1
04:41.2,A5,Engine temp.,352.15,1
04:41.2,A5,Engine oil temp.,360.2,1
04:41.2,A5,Engine oil pressure,452000,1
04:41.2,A1,Engine Speed,1500,3
04:41.2,A1,Engine Boost Pressure,6000,3
04:41.6,127,Latitude,59° 25.170066' N,
04:41.6,127,Longitude,05° 17.683656' E,
04:41.6,17,Course Over Ground,0,
04:41.6,114,Heading,3.4015,
04:41.6,128,Heading,0.0119,
04:41.6,128,Heading,0.0122,
04:41.6,128,Heading,0.0124,
04:41.6,128,Heading,0.0123,
04:41.6,114,Deviation,0,
04:41.6,128,Deviation,,
04:41.6,17,Speed Over Ground,0,
04:41.6,127,Speed Over Ground,0,
04:41.6,14,Water Depth,,
04:41.6,12,Water Depth,,
04:41.6,127,Fluid Level,87.3,
04:41.6,127,Fuel Rate,0.1197,
04:41.6,127,Fuel Rate,0.0038,
04:41.6,127,Fuel Rate,0.1276,
04:41.6,127,Fuel Rate,0.0182,
04:41.6,13,Battery Voltage,14.92,0
04:41.6,A9,Transmission oil temperature,349.8,0
04:41.6,A9,Transmission oil pressure,134300,0
04:41.6,A9,Transmission Gear,3,0
04:41.6,A9,Engine tilt/trim,100,0
04:41.6,A3,Fuel Pressure,644000,
04:41.6,A3,Engine coolant pressure,236000,2
04:41.6,A3,Engine temp.,349.15,2
04:41.6,A3,Engine oil temp.,359.2,2
04:41.6,A3,Engine oil pressure,464000,2
04:41.6,A5,Engine Speed,1750,1
04:41.6,A5,Engine Boost Pressure,212000,1
04:41.7,127,Latitude,59° 25.170066' N,
04:41.7,127,Longitude,05° 17.683656' E,
04:41.7,128,Heading,0.0122,
04:41.7,114,Heading,3.4015,
04:41.7,128,Deviation,,
04:41.7,114,Deviation,0,
04:41.7,127,Speed Over Ground,0,
04:41.7,127,Fluid Level,87.3,
04:41.7,127,Fuel Rate,0.1204,
04:41.7,B3,Battery Voltage,28.03,5
04:41.7,A9,Transmission oil temperature,349.8,0
04:41.7,A9,Transmission oil pressure,134300,0
04:41.7,A9,Transmission Gear,3,0
04:41.7,A9,Engine tilt/trim,100,0
04:41.7,A5,Fuel Pressure,660000,
04:41.7,A5,Engine coolant pressure,218000,1
04:41.7,A5,Engine temp.,353.15,1
04:41.7,A5,Engine oil temp.,360.2,1
04:41.7,A5,Engine oil pressure,452000,1
04:41.7,A4,Engine Speed,1501,4
04:41.7,A4,Engine Boost Pressure,54000,4
04:41.7,127,Latitude,59° 25.170066' N,
04:41.7,127,Longitude,05° 17.683656' E,
04:41.7,127,Speed Over Ground,0,
04:41.7,11,Water Depth,,
04:41.7,127,Fluid Level,87.3,
04:41.7,127,Fuel Rate,0.1276,
04:41.7,2A,Battery Voltage,15.5,16
04:41.7,A9,Transmission oil temperature,349.8,0
04:41.7,A9,Transmission oil pressure,134300,0
04:41.7,A9,Transmission Gear,3,0
04:41.7,A9,Engine tilt/trim,100,0
04:41.7,A3,Fuel Pressure,644000,
04:41.7,A3,Engine coolant pressure,236000,2
04:41.7,A3,Engine temp.,349.15,2
04:41.7,A3,Engine oil temp.,359.2,2
04:41.7,A3,Engine oil pressure,464000,2
04:41.7,A3,Engine Speed,1914,2
04:41.7,A3,Engine Boost Pressure,196000,2
04:41.9,127,Latitude,59° 25.170066' N,
04:41.9,127,Longitude,05° 17.683656' E,
04:41.9,17,Course Over Ground,0,
04:41.9,128,Heading,0.0123,
04:41.9,114,Heading,3.4015,
04:41.9,128,Heading,0.0122,
04:41.9,128,Deviation,,
04:41.9,114,Deviation,0,
04:41.9,17,Speed Over Ground,0,
04:41.9,127,Speed Over Ground,0,
04:41.9,127,Fluid Level,87.3,
04:41.9,127,Fuel Rate,0.1212,
04:41.9,2A,Battery Voltage,15.7,17
04:41.9,A9,Transmission oil temperature,349.8,0
04:41.9,A9,Transmission oil pressure,134300,0
04:41.9,A9,Transmission Gear,3,0
04:41.9,A9,Engine tilt/trim,100,0
04:41.9,A5,Fuel Pressure,664000,
04:41.9,A5,Engine coolant pressure,218000,1
04:41.9,A5,Engine temp.,353.15,1
04:41.9,A5,Engine oil temp.,360.2,1
04:41.9,A5,Engine oil pressure,452000,1
04:41.9,A1,Engine Speed,1500,3
04:41.9,A1,Engine Boost Pressure,6000,3
04:41.9,127,Latitude,59° 25.170066' N,
04:41.9,127,Longitude,05° 17.683656' E,
04:41.9,128,Heading,0.0117,
04:41.9,114,Heading,3.4015,
04:41.9,128,Deviation,,
04:41.9,114,Deviation,0,
04:41.9,127,Speed Over Ground,0,
04:41.9,13,Water Depth,,
04:41.9,127,Fluid Level,87.3,
04:41.9,127,Fuel Rate,0.1273,
04:41.9,B2,Battery Voltage,27.52,8
04:41.9,A9,Transmission oil temperature,349.8,0
04:41.9,A9,Transmission oil pressure,134300,0
04:41.9,A9,Transmission Gear,3,0
04:41.9,A9,Engine tilt/trim,100,0
04:41.9,A3,Fuel Pressure,644000,
04:41.9,A3,Engine coolant pressure,236000,2
04:41.9,A3,Engine temp.,349.15,2
04:41.9,A3,Engine oil temp.,359.2,2
04:41.9,A3,Engine oil pressure,464000,2
04:41.9,A5,Engine Speed,1755,1
04:41.9,A5,Engine Boost Pressure,212000,1
04:42.1,127,Latitude,59° 25.170066' N,
04:42.1,127,Longitude,05° 17.683656' E,
04:42.1,17,Course Over Ground,0,
04:42.1,128,Heading,0.0115,
04:42.1,114,Heading,3.4015,
04:42.1,128,Heading,0.0113,
04:42.1,128,Deviation,,
04:42.1,114,Deviation,0,
04:42.1,127,Speed Over Ground,0,
04:42.1,17,Speed Over Ground,0,
04:42.1,127,Fluid Level,87.3,
04:42.1,127,Fuel Rate,0.1208,
04:42.1,127,Fuel Rate,0.1273,
04:42.1,B0,Battery Voltage,28.08,6
04:42.1,A9,Transmission oil temperature,349.8,0
04:42.1,A9,Transmission oil pressure,134300,0
04:42.1,A9,Transmission Gear,3,0
04:42.1,A9,Engine tilt/trim,100,0
04:42.1,A5,Fuel Pressure,664000,
04:42.1,A5,Engine coolant pressure,218000,1
04:42.1,A5,Engine temp.,353.15,1
04:42.1,A5,Engine oil temp.,360.2,1
04:42.1,A5,Engine oil pressure,452000,1
04:42.1,A4,Engine Speed,1501,4
04:42.1,A4,Engine Boost Pressure,54000,4
04:42.2,127,Speed Over Ground,0,
04:42.3,127,Latitude,59° 25.170066' N,
04:42.3,127,Longitude,05° 17.683656' E,
04:42.3,128,Heading,0.0112,
04:42.3,114,Heading,3.4015,
04:42.3,128,Deviation,,
04:42.3,114,Deviation,0,
04:42.3,127,Fluid Level,87.3,
04:42.3,127,Fuel Rate,0.1198,
04:42.3,B5,Battery Voltage,28.54,1
04:42.3,A9,Transmission oil temperature,349.8,0
04:42.3,A9,Transmission oil pressure,134500,0
04:42.3,A9,Transmission Gear,3,0
04:42.3,A9,Engine tilt/trim,100,0
04:42.3,A3,Fuel Pressure,644000,
04:42.3,A3,Engine coolant pressure,236000,2
04:42.3,A3,Engine temp.,349.15,2
04:42.3,A3,Engine oil temp.,359.2,2
04:42.3,A3,Engine oil pressure,464000,2
04:42.3,A3,Engine Speed,1911,2
04:42.3,A3,Engine Boost Pressure,196000,2
04:42.4,127,Latitude,59° 25.170066' N,
04:42.4,127,Longitude,05° 17.683656' E,
04:42.4,17,Course Over Ground,0,
04:42.4,128,Heading,0.0112,
04:42.4,114,Heading,3.4015,
04:42.4,128,Deviation,,
04:42.4,114,Deviation,0,
04:42.4,127,Speed Over Ground,0,
04:42.4,17,Speed Over Ground,0,
04:42.4,14,Water Depth,,
04:42.4,127,Fluid Level,87.3,
04:42.4,127,Fuel Rate,0.127,
04:42.4,B4,Battery Voltage,26.36,2
04:42.4,A9,Transmission oil temperature,349.8,0
04:42.4,A9,Transmission oil pressure,134500,0
04:42.4,A9,Transmission Gear,3,0
04:42.4,A9,Engine tilt/trim,100,0
04:42.4,A1,Fuel Pressure,120000,
04:42.4,A1,Engine coolant pressure,96000,3
04:42.4,A1,Engine temp.,351.15,3
04:42.4,A1,Engine oil temp.,344.9,3
04:42.4,A1,Engine oil pressure,512000,3
04:42.4,A1,Engine Speed,1501,3
04:42.4,A1,Engine Boost Pressure,6000,3
04:42.7,127,Latitude,59° 25.170066' N,
04:42.7,127,Longitude,05° 17.683656' E,
04:42.7,17,Course Over Ground,0,
04:42.7,128,Heading,0.0109,
04:42.7,114,Heading,3.4015,
04:42.7,128,Heading,0.0111,
04:42.7,128,Heading,0.0112,
04:42.7,128,Deviation,,
04:42.7,114,Deviation,0,
04:42.7,127,Speed Over Ground,0,
04:42.7,17,Speed Over Ground,0,
04:42.7,12,Water Depth,,
04:42.7,11,Water Depth,,
04:42.7,127,Fluid Level,87.3,
04:42.7,127,Fuel Rate,0.1195,
04:42.7,127,Fuel Rate,0.0035,
04:42.7,127,Fuel Rate,0.127,
04:42.7,B1,Battery Voltage,27.5,7
04:42.7,A9,Transmission oil temperature,349.8,0
04:42.7,A9,Transmission oil pressure,134500,0
04:42.7,A9,Transmission Gear,3,0
04:42.7,A9,Engine tilt/trim,100,0
04:42.7,A5,Fuel Pressure,664000,
04:42.7,A5,Engine coolant pressure,218000,1
04:42.7,A5,Engine temp.,353.15,1
04:42.7,A5,Engine oil temp.,360.2,1
04:42.7,A5,Engine oil pressure,452000,1
04:42.7,A5,Engine Speed,1753,1
04:42.7,A5,Engine Boost Pressure,214000,1
04:42.8,127,Latitude,59° 25.170066' N,
04:42.8,127,Longitude,05° 17.683656' E,
04:42.8,128,Heading,0.0113,
04:42.8,114,Heading,3.4015,
04:42.8,128,Deviation,,
04:42.8,114,Deviation,0,
04:42.8,127,Speed Over Ground,0,
04:42.8,127,Fluid Level,87.3,
04:42.8,127,Fuel Rate,0.0185,
04:42.8,13,Battery Voltage,14.9,0
04:42.8,A9,Transmission oil temperature,349.8,0
04:42.8,A9,Transmission oil pressure,134500,0
04:42.8,A9,Transmission Gear,3,0
04:42.8,A9,Engine tilt/trim,100,0
04:42.8,A4,Fuel Pressure,140000,
04:42.8,A4,Engine coolant pressure,106000,4
04:42.8,A4,Engine temp.,352.15,4
04:42.8,A4,Engine oil temp.,350.7,4
04:42.8,A4,Engine oil pressure,484000,4
04:42.8,A4,Engine Speed,1501,4
04:42.8,A4,Engine Boost Pressure,54000,4
04:42.8,127,Speed Over Ground,0,
04:42.9,127,Latitude,59° 25.170066' N,
04:42.9,127,Longitude,05° 17.683656' E,
04:42.9,17,Course Over Ground,0,
04:42.9,128,Heading,0.0113,
04:42.9,114,Heading,3.4015,
04:42.9,128,Heading,0.0112,
04:42.9,128,Deviation,,
04:42.9,114,Deviation,0,
04:42.9,17,Speed Over Ground,0,
04:42.9,127,Speed Over Ground,0,
04:42.9,13,Water Depth,,
04:42.9,127,Fluid Level,87.3,
04:42.9,127,Fuel Rate,0.12,
04:42.9,127,Fuel Rate,0.1271,
04:42.9,B3,Battery Voltage,28.03,5
04:42.9,A9,Transmission oil temperature,349.8,0
04:42.9,A9,Transmission oil pressure,134500,0
04:42.9,A9,Transmission Gear,3,0
04:42.9,A9,Engine tilt/trim,100,0
04:42.9,A3,Fuel Pressure,644000,
04:42.9,A3,Engine coolant pressure,236000,2
04:42.9,A3,Engine temp.,349.15,2
04:42.9,A3,Engine oil temp.,359.2,2
04:42.9,A3,Engine oil pressure,464000,2
04:42.9,A3,Engine Speed,1912,2
04:42.9,A3,Engine Boost Pressure,196000,2
04:43.2,127,Latitude,59° 25.170066' N,
04:43.2,127,Longitude,05° 17.683656' E,
04:43.2,17,Course Over Ground,0,
04:43.2,114,Heading,3.4015,
04:43.2,128,Heading,0.011,
04:43.2,128,Heading,0.0109,
04:43.2,114,Deviation,0,
